-> Name: C71, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (36.7284,59.7408), 
-> Name: C72, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (33.9852,56.9214), 
-> Name: C73, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (33.1724,58.5216), 
-> Name: C74, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (33.1724,57.7088), 
-> Name: C75, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (32.7914,56.515), 
-> Name: C76, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (41.9354,55.2958), 
-> Name: C77, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (35.56,49.53), 
-> Name: C78, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (42.037,50.673), 
-> Name: C79, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (35.941,47.752), 
-> Name: C8, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (41.91,2.794), 
-> Name: C80, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (35.56,60.833), 
-> Name: C81, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (34.7726,57.7088), 
-> Name: C82, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (41.148,48.9458), 
-> Name: C83, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (41.148,49.7586), 
-> Name: C84, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (40.3352,50.5968), 
-> Name: C85, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (39.9288,49.3776), 
-> Name: C86, -> Value: 1uF, -> Package: 0603, -> X,Y coordinates: (46.355,20.828), 
-> Name: C87, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (50.292,18.288), 
-> Name: C88, -> Value: 1uF, -> Package: 0201, -> X,Y coordinates: (35.5854,59.3344), 
-> Name: C89, -> Value: 1uF, -> Package: 0201, -> X,Y coordinates: (32.004,58.1152), 
-> Name: C9, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (56.388,41.402), 
-> Name: C90, -> Value: 1uF, -> Package: 0201, -> X,Y coordinates: (36.7284,58.1152), 
-> Name: C91, -> Value: 1uF, -> Package: 0201, -> X,Y coordinates: (34.7726,58.5216), 
-> Name: C92, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (37.5412,49.3776), 
-> Name: C93, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (35.56,51.689), 
-> Name: C94, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (35.941,62.992), 
-> Name: C95, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (44.196,59.436), 
-> Name: C96, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (37.084,44.45), 
-> Name: C97, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (38.354,61.468), 
-> Name: C98, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (43.688,53.213), 
-> Name: C99, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (38.354,58.1152), 
-> Name: C139, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (7.239,67.818), 
-> Name: C140, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (7.239,69.088), 
-> Name: C141, -> Value: 1000pF, -> Package: 0402, -> X,Y coordinates: (3.556,74.803), 
-> Name: C222, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (37.465,65.532), 
-> Name: C223, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (43.942,72.263), 
-> Name: C224, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (43.942,73.533), 
-> Name: C225, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (40.894,64.77), 
-> Name: C464, -> Value: 4.7uF, -> Package: 0603, -> X,Y coordinates: (24.13,36.957), 
-> Name: C465, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (24.13,35.306), 
-> Name: C226, -> Value: 4.7uF, -> Package: 0603, -> X,Y coordinates: (25.4,28.321), 
-> Name: C227, -> Value: 4.7uF, -> Package: 0603, -> X,Y coordinates: (31.242,32.512), 
-> Name: C228, -> Value: 4.7uF, -> Package: 0603, -> X,Y coordinates: (40.64,34.417), 
-> Name: C229, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (43.434,34.671), 
-> Name: C230, -> Value: 4.7uF, -> Package: 0603, -> X,Y coordinates: (46.355,32.512), 
-> Name: C231, -> Value: 4.7uF, -> Package: 0603, -> X,Y coordinates: (40.767,28.321), 
-> Name: C232, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (43.688,68.072), 
-> Name: C233, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (41.5544,70.5104), 
-> Name: C234, -> Value: 0.22uF, -> Package: 0603, -> X,Y coordinates: (28.194,28.321), 
-> Name: C235, -> Value: 0.22uF, -> Package: 0603, -> X,Y coordinates: (26.924,33.274), 
-> Name: C236, -> Value: 0.22uF, -> Package: 0603, -> X,Y coordinates: (43.561,28.321), 
-> Name: C237, -> Value: 0.22uF, -> Package: 0603, -> X,Y coordinates: (43.942,32.893), 
-> Name: C238, -> Value: 18pF, -> Package: 0402, -> X,Y coordinates: (53.848,75.692), 
-> Name: C239, -> Value: 18pF, -> Package: 0402, -> X,Y coordinates: (50.3936,72.8472), 
-> Name: C240, -> Value: 1uF, -> Package: 0603, -> X,Y coordinates: (22.86,70.358), 
-> Name: C241, -> Value: 1uF, -> Package: 0603, -> X,Y coordinates: (48.768,79.375), 
